"","Min","1st Qu","Median","Mean","3rd Qu","Max","NA"
"X5115.MCV","Min.   : 66.70  ","1st Qu.: 83.30  ","Median : 88.50  ","Mean   : 88.87  ","3rd Qu.: 93.30  ","Max.   :120.70  ","NA's   :6  "
"X5120.Mean.Platelet.Volume..MPV.","Min.   : 6.400  ","1st Qu.: 8.425  ","Median : 9.300  ","Mean   : 9.316  ","3rd Qu.:10.100  ","Max.   :11.700  ","NA's   :13  "
"X5127.PCT","Min.   :0.0100  ","1st Qu.:0.1900  ","Median :0.2700  ","Mean   :0.2948  ","3rd Qu.:0.3700  ","Max.   :0.8700  ","NA's   :8  "
"X5128.Platelet.distribution.width","Min.   : 8.7  ","1st Qu.:15.5  ","Median :15.9  ","Mean   :15.3  ","3rd Qu.:16.4  ","Max.   :18.2  ","NA's   :9  "
"X5129.Platelet.Count","Min.   :  3.0  ","1st Qu.:204.0  ","Median :296.0  ","Mean   :311.7  ","3rd Qu.:398.0  ","Max.   :950.0  ","NA's   :6  "
"X5132.Red.Blood.Cells","Min.   :0.420  ","1st Qu.:3.220  ","Median :3.770  ","Mean   :3.694  ","3rd Qu.:4.070  ","Max.   :5.320  ","NA's   :6  "
"X5136.RDW","Min.   :11.30  ","1st Qu.:13.20  ","Median :14.50  ","Mean   :14.89  ","3rd Qu.:15.80  ","Max.   :29.30  ","NA's   :6  "
"X5141.WBC.Count","Min.   : 0.59  ","1st Qu.: 6.02  ","Median :10.38  ","Mean   :12.80  ","3rd Qu.:16.72  ","Max.   :48.80  ","NA's   :6  "
"X5211.Base.Excess","Min.   :-27.500  ","1st Qu.: -6.300  ","Median : -2.700  ","Mean   : -3.342  ","3rd Qu.:  1.300  ","Max.   : 15.600  ",NA
"X5215.Calcium..Total","Min.   :0.680  ","1st Qu.:1.060  ","Median :1.150  ","Mean   :1.151  ","3rd Qu.:1.250  ","Max.   :1.470  ",NA
"X5218.Chloride..Whole.Blood","Min.   : 81.0  ","1st Qu.:101.5  ","Median :106.0  ","Mean   :105.2  ","3rd Qu.:109.0  ","Max.   :121.0  ",NA
"X5219.Carboxyhemoglobin","Min.   :0.000  ","1st Qu.:0.700  ","Median :1.300  ","Mean   :1.206  ","3rd Qu.:1.650  ","Max.   :3.500  ",NA
"X5223.Glucose","Min.   : 1.200  ","1st Qu.: 5.100  ","Median : 5.900  ","Mean   : 7.134  ","3rd Qu.: 7.700  ","Max.   :22.500  ","NA's   :6  "
"X5224.Calculated.Bicarbonate..Whole.Blood","Min.   : 3.40  ","1st Qu.:19.40  ","Median :22.50  ","Mean   :22.73  ","3rd Qu.:26.20  ","Max.   :45.30  ","NA's   :1  "
"X5225.Hematocrit","Min.   :16.70  ","1st Qu.:28.80  ","Median :32.90  ","Mean   :33.02  ","3rd Qu.:36.35  ","Max.   :51.10  ",NA
"X5226.Potassium","Min.   :2.50  ","1st Qu.:3.75  ","Median :4.20  ","Mean   :4.24  ","3rd Qu.:4.60  ","Max.   :7.10  ",NA
"X5227.Lactate","Min.   : 0.700  ","1st Qu.: 1.400  ","Median : 2.500  ","Mean   : 3.641  ","3rd Qu.: 4.200  ","Max.   :20.000  ","NA's   :2  "
"X5228.Methemoglobin","Min.   :0.00  ","1st Qu.:0.45  ","Median :0.70  ","Mean   :0.78  ","3rd Qu.:1.10  ","Max.   :2.00  ",NA
"X5230.Sodium..Whole.Blood","Min.   :123.0  ","1st Qu.:134.0  ","Median :137.0  ","Mean   :137.2  ","3rd Qu.:141.0  ","Max.   :149.0  ",NA
"X5235.pCO2","Min.   : 16.30  ","1st Qu.: 37.15  ","Median : 44.90  ","Mean   : 46.61  ","3rd Qu.: 54.20  ","Max.   :139.00  ",NA
"X5237.pH","Min.   :6.812  ","1st Qu.:7.261  ","Median :7.338  ","Mean   :7.309  ","3rd Qu.:7.391  ","Max.   :7.513  ",NA
"X5239.pO2","Min.   : 19.80  ","1st Qu.: 41.80  ","Median : 67.80  ","Mean   : 88.25  ","3rd Qu.:122.50  ","Max.   :296.00  ",NA
"X5248.Bicarbonate","Min.   : 5.80  ","1st Qu.:18.90  ","Median :21.90  ","Mean   :21.67  ","3rd Qu.:25.10  ","Max.   :37.70  ",NA
"X5249.Base.Excess","Min.   :-26.200  ","1st Qu.: -5.900  ","Median : -2.600  ","Mean   : -2.972  ","3rd Qu.:  1.550  ","Max.   : 18.800  ","NA's   :1  "
"X5252.Oxygen.Saturation","Min.   : 19.00  ","1st Qu.: 67.05  ","Median : 91.00  ","Mean   : 81.07  ","3rd Qu.: 99.15  ","Max.   :100.00  ",NA
"X5306.Prealbumin","Min.   :0.0000  ","1st Qu.:0.0785  ","Median :0.1100  ","Mean   :0.1092  ","3rd Qu.:0.1365  ","Max.   :0.2810  ","NA's   :8  "
"X5492.Basophils","Min.   :0.0000  ","1st Qu.:0.1750  ","Median :0.3000  ","Mean   :0.3341  ","3rd Qu.:0.4000  ","Max.   :1.8000  ","NA's   :7  "
"X5493.Basophils.Count","Min.   :0.00000  ","1st Qu.:0.02000  ","Median :0.03000  ","Mean   :0.03908  ","3rd Qu.:0.04000  ","Max.   :0.40000  ","NA's   :8  "
"X5626.C.Reactive.Protein","Min.   :  0.34  ","1st Qu.:  4.00  ","Median :  7.00  ","Mean   : 18.11  ","3rd Qu.: 19.25  ","Max.   :128.00  ","NA's   :33  "
"X6236.Cholinesterase","Min.   : 2407  ","1st Qu.: 4540  ","Median : 5769  ","Mean   : 5887  ","3rd Qu.: 7106  ","Max.   :10522  ","NA's   :8  "
"X6261.Cystatin.C","Min.   :0.530  ","1st Qu.:0.885  ","Median :1.130  ","Mean   :1.181  ","3rd Qu.:1.410  ","Max.   :2.880  ","NA's   :8  "
"X6316.Monocyte.Count","Min.   :0.0000  ","1st Qu.:0.2400  ","Median :0.5700  ","Mean   :0.7239  ","3rd Qu.:0.9950  ","Max.   :3.1700  ","NA's   :8  "
"X6317.Monocytes","Min.   : 0.300  ","1st Qu.: 2.700  ","Median : 5.100  ","Mean   : 5.963  ","3rd Qu.: 7.900  ","Max.   :20.700  ","NA's   :11  "
"X6318.Eosinophil.Count","Min.   :0.0000  ","1st Qu.:0.0300  ","Median :0.0500  ","Mean   :0.1062  ","3rd Qu.:0.1200  ","Max.   :0.8200  ","NA's   :8  "
"X6471.Serum.hemolytic.index","Min.   :  0.00  ","1st Qu.:  0.00  ","Median :  0.00  ","Mean   : 13.98  ","3rd Qu.:  9.00  ","Max.   :386.00  ","NA's   :8  "
"X6472.Serum..icteric.index","Min.   :0.0000  ","1st Qu.:0.0000  ","Median :0.0000  ","Mean   :0.5172  ","3rd Qu.:1.0000  ","Max.   :8.0000  ","NA's   :8  "
"X6473.Lipase","Min.   : 0.00  ","1st Qu.: 0.00  ","Median : 0.00  ","Mean   : 6.46  ","3rd Qu.: 8.00  ","Max.   :41.00  ","NA's   :8  "
